2024-06-10T10:58:07.808Z [INFO] - Processing chunk: 38 / 50
2024-06-10T10:58:07.961Z [INFO] - Processing chunk: 39 / 50
2024-06-10T10:58:08.098Z [INFO] - Processing chunk: 40 / 50
2024-06-10T10:58:08.257Z [INFO] - Processing chunk: 41 / 50
2024-06-10T10:58:08.665Z [INFO] - Processing chunk: 42 / 50
2024-06-10T10:58:08.833Z [INFO] - Processing chunk: 43 / 50
2024-06-10T10:58:08.988Z [INFO] - Processing chunk: 44 / 50
2024-06-10T10:58:09.142Z [INFO] - Processing chunk: 45 / 50
2024-06-10T10:58:09.286Z [INFO] - Processing chunk: 46 / 50
2024-06-10T10:58:09.418Z [INFO] - Processing chunk: 47 / 50
2024-06-10T10:58:09.754Z [INFO] - Processing chunk: 48 / 50
2024-06-10T10:58:09.939Z [INFO] - Processing chunk: 49 / 50
2024-06-10T10:58:10.110Z [INFO] - Processing chunk: 50 / 50
2024-06-10T10:59:00.911Z [INFO] - Running scheduled task
2024-06-10T10:59:00.914Z [INFO] - Read data from file: C:\Users\soura\OneDrive\Desktop\masai_git\sourabh_rawat_ft31_244\unit-6\sprint-4\evaluation\MOCK_DATA.json
2024-06-10T10:59:00.916Z [INFO] - Parsed data successfully from file: C:\Users\soura\OneDrive\Desktop\masai_git\sourabh_rawat_ft31_244\unit-6\sprint-4\evaluation\MOCK_DATA.json
2024-06-10T10:59:00.918Z [INFO] - Processing chunk: 1 / 50
2024-06-10T10:59:01.052Z [INFO] - Processing chunk: 2 / 50
2024-06-10T10:59:01.164Z [INFO] - Processing chunk: 3 / 50
2024-06-10T10:59:01.354Z [INFO] - Processing chunk: 4 / 50
2024-06-10T10:59:01.553Z [INFO] - Processing chunk: 5 / 50
2024-06-10T10:59:01.701Z [INFO] - Processing chunk: 6 / 50
2024-06-10T10:59:02.073Z [INFO] - Processing chunk: 7 / 50
2024-06-10T10:59:02.199Z [INFO] - Processing chunk: 8 / 50
2024-06-10T10:59:02.309Z [INFO] - Processing chunk: 9 / 50
2024-06-10T10:59:02.446Z [INFO] - Processing chunk: 10 / 50
2024-06-10T10:59:02.598Z [INFO] - Processing chunk: 11 / 50
2024-06-10T10:59:03.020Z [INFO] - Processing chunk: 12 / 50
2024-06-10T10:59:03.142Z [INFO] - Processing chunk: 13 / 50
2024-06-10T10:59:03.289Z [INFO] - Processing chunk: 14 / 50
2024-06-10T10:59:03.387Z [INFO] - Processing chunk: 15 / 50
2024-06-10T10:59:03.487Z [INFO] - Processing chunk: 16 / 50
2024-06-10T10:59:04.007Z [INFO] - Processing chunk: 17 / 50
2024-06-10T10:59:04.107Z [INFO] - Processing chunk: 18 / 50
2024-06-10T10:59:04.212Z [INFO] - Processing chunk: 19 / 50
2024-06-10T10:59:04.317Z [INFO] - Processing chunk: 20 / 50
2024-06-10T10:59:04.419Z [INFO] - Processing chunk: 21 / 50
2024-06-10T10:59:05.003Z [INFO] - Processing chunk: 22 / 50
2024-06-10T10:59:05.102Z [INFO] - Processing chunk: 23 / 50
2024-06-10T10:59:05.280Z [INFO] - Processing chunk: 24 / 50
2024-06-10T10:59:05.395Z [INFO] - Processing chunk: 25 / 50
2024-06-10T10:59:05.492Z [INFO] - Processing chunk: 26 / 50
2024-06-10T10:59:05.985Z [INFO] - Processing chunk: 27 / 50
2024-06-10T10:59:06.084Z [INFO] - Processing chunk: 28 / 50
2024-06-10T10:59:06.179Z [INFO] - Processing chunk: 29 / 50
2024-06-10T10:59:06.275Z [INFO] - Processing chunk: 30 / 50
2024-06-10T10:59:06.373Z [INFO] - Processing chunk: 31 / 50
2024-06-10T10:59:06.983Z [INFO] - Processing chunk: 32 / 50
2024-06-10T10:59:07.088Z [INFO] - Processing chunk: 33 / 50
2024-06-10T10:59:07.228Z [INFO] - Processing chunk: 34 / 50
2024-06-10T10:59:07.341Z [INFO] - Processing chunk: 35 / 50
2024-06-10T10:59:07.427Z [INFO] - Processing chunk: 36 / 50
2024-06-10T10:59:07.527Z [INFO] - Processing chunk: 37 / 50
2024-06-10T10:59:08.030Z [INFO] - Processing chunk: 38 / 50
2024-06-10T10:59:08.135Z [INFO] - Processing chunk: 39 / 50
2024-06-10T10:59:08.276Z [INFO] - Processing chunk: 40 / 50
2024-06-10T10:59:08.612Z [INFO] - Processing chunk: 41 / 50
2024-06-10T10:59:08.717Z [INFO] - Processing chunk: 42 / 50
2024-06-10T10:59:09.023Z [INFO] - Processing chunk: 43 / 50
2024-06-10T10:59:09.123Z [INFO] - Processing chunk: 44 / 50
2024-06-10T10:59:09.235Z [INFO] - Processing chunk: 45 / 50
2024-06-10T10:59:09.333Z [INFO] - Processing chunk: 46 / 50
2024-06-10T10:59:09.436Z [INFO] - Processing chunk: 47 / 50
2024-06-10T10:59:10.010Z [INFO] - Processing chunk: 48 / 50
2024-06-10T10:59:10.115Z [INFO] - Processing chunk: 49 / 50
2024-06-10T10:59:10.451Z [INFO] - Processing chunk: 50 / 50
2024-06-10T11:00:00.431Z [INFO] - Running scheduled task
2024-06-10T11:00:00.435Z [INFO] - Read data from file: C:\Users\soura\OneDrive\Desktop\masai_git\sourabh_rawat_ft31_244\unit-6\sprint-4\evaluation\MOCK_DATA.json
2024-06-10T11:00:00.437Z [INFO] - Parsed data successfully from file: C:\Users\soura\OneDrive\Desktop\masai_git\sourabh_rawat_ft31_244\unit-6\sprint-4\evaluation\MOCK_DATA.json
2024-06-10T11:00:00.439Z [INFO] - Processing chunk: 1 / 50
2024-06-10T11:00:00.535Z [INFO] - Processing chunk: 2 / 50
2024-06-10T11:00:00.658Z [INFO] - Processing chunk: 3 / 50
2024-06-10T11:00:00.777Z [INFO] - Processing chunk: 4 / 50
2024-06-10T11:00:00.886Z [INFO] - Processing chunk: 5 / 50
2024-06-10T11:00:01.012Z [INFO] - Processing chunk: 6 / 50
2024-06-10T11:00:01.537Z [INFO] - Processing chunk: 7 / 50
2024-06-10T11:00:01.641Z [INFO] - Processing chunk: 8 / 50
2024-06-10T11:00:01.816Z [INFO] - Processing chunk: 9 / 50
2024-06-10T11:00:01.986Z [INFO] - Processing chunk: 10 / 50
2024-06-10T11:00:02.092Z [INFO] - Processing chunk: 11 / 50
2024-06-10T11:00:02.519Z [INFO] - Processing chunk: 12 / 50
2024-06-10T11:00:02.621Z [INFO] - Processing chunk: 13 / 50
2024-06-10T11:00:02.721Z [INFO] - Processing chunk: 14 / 50
2024-06-10T11:00:02.850Z [INFO] - Processing chunk: 15 / 50
2024-06-10T11:00:02.951Z [INFO] - Processing chunk: 16 / 50
2024-06-10T11:00:03.508Z [INFO] - Processing chunk: 17 / 50
2024-06-10T11:00:03.845Z [INFO] - Processing chunk: 18 / 50
2024-06-10T11:00:03.956Z [INFO] - Processing chunk: 19 / 50
2024-06-10T11:00:04.092Z [INFO] - Processing chunk: 20 / 50
2024-06-10T11:00:04.216Z [INFO] - Processing chunk: 21 / 50
2024-06-10T11:00:04.492Z [INFO] - Processing chunk: 22 / 50
2024-06-10T11:00:04.598Z [INFO] - Processing chunk: 23 / 50
2024-06-10T11:00:04.705Z [INFO] - Processing chunk: 24 / 50
2024-06-10T11:00:04.817Z [INFO] - Processing chunk: 25 / 50
2024-06-10T11:00:04.926Z [INFO] - Processing chunk: 26 / 50
2024-06-10T11:00:05.502Z [INFO] - Processing chunk: 27 / 50
2024-06-10T11:00:05.602Z [INFO] - Processing chunk: 28 / 50
2024-06-10T11:00:05.720Z [INFO] - Processing chunk: 29 / 50
2024-06-10T11:00:05.830Z [INFO] - Processing chunk: 30 / 50
2024-06-10T11:00:05.942Z [INFO] - Processing chunk: 31 / 50
2024-06-10T11:00:06.484Z [INFO] - Processing chunk: 32 / 50
2024-06-10T11:00:06.593Z [INFO] - Processing chunk: 33 / 50
2024-06-10T11:00:06.948Z [INFO] - Processing chunk: 34 / 50
2024-06-10T11:00:07.048Z [INFO] - Processing chunk: 35 / 50
2024-06-10T11:00:07.174Z [INFO] - Processing chunk: 36 / 50
2024-06-10T11:00:07.299Z [INFO] - Processing chunk: 37 / 50
2024-06-10T11:00:07.565Z [INFO] - Processing chunk: 38 / 50
2024-06-10T11:00:07.752Z [INFO] - Processing chunk: 39 / 50
2024-06-10T11:00:07.895Z [INFO] - Processing chunk: 40 / 50
